Name,Precision,Recall,F1,Accuracy
Naive Bayes + TFIDF,0.5164835164835165,0.6351351351351351,0.5696969696969697,0.5266666666666666
Naive Bayes + GloVe,0.5230769230769231,0.4594594594594595,0.4892086330935252,0.5266666666666666
Logistic Regression + TFIDF,0.7380952380952381,0.8378378378378378,0.7848101265822784,0.7733333333333333
Logistic Regression + GloVe,0.5277777777777778,0.5135135135135135,0.5205479452054794,0.5333333333333333
SVM + TFIDF,0.7777777777777778,0.8513513513513513,0.8129032258064516,0.8066666666666666
SVM + GloVe,0.5365853658536586,0.5945945945945946,0.5641025641025641,0.5466666666666666
Multilayer Perceptron + TFIDF,0.7619047619047619,0.8648648648648649,0.810126582278481,0.8
Multilayer Perceptron + GloVe,0.6172839506172839,0.6756756756756757,0.6451612903225806,0.6333333333333333
